является, є
целый, цілий
лиги, ліги
увеличить, збільшити
собственности, власності
сельского, сільського
банки, банки
наряду, поряд
посредством, за допомогою
советской, радянської
автоматически, автоматично
журнал, журнал
платить, платити
браузере, браузері
отмечают, відзначають
концерт, концерт
вернуть, повернути
сторона, сторона
дверь, двері
городского, міського
учреждения, установи
парк, парк
знаний, знань
квартир, квартир
доллара, долара
причина, причина
высокого, високого
взял, взяв
роман, роман
ноябре, листопаді
поставить, поставити
усилия, зусилля
использованием, використанням
прибыли, прибутку
команд, команд
разработки, розробки
ведущих, провідних
представляют, являють
проводит, проводить
волос, волосся
доктор, доктор
большинстве, більшості
тренер, тренер
половине, половині
обязанности, обов'язки
будучи, будучи
создана, створена
солдат, солдат
бюро, бюро
проверки, перевірки
журналистам, журналістам
элементы, елементи
обслуживание, обслуговування
муж, чоловік
рейтинг, рейтинг
посетителей, відвідувачів
музея, музею
народного, народного
используя, використовуючи
районов, районів
чемпионат, чемпіонат
люблю, кохаю
профессор, професор
надеюсь, сподіваюся
приходит, приходить
осенью, восени
срока, терміну
итак, отже
военные, військові
центром, центром
журнала, журналу
комитет, комітет
поиска, пошуку
простой, простий
попытки, спроби
вдоль, уздовж
письма, листи
общее, загальне
неоднократно, неодноразово
огонь, вогонь
конфликта, конфлікту
фестиваля, фестивалю
нефть, нафту
собирается, збирається
издания, видання
увеличение, збільшення
поверхность, поверхню
дорог, доріг
защиту, захист
данное, дане
назначения, призначення
регионах, регіонах
найдено, знайдено
успеха, успіху
учреждений, установ
ждет, чекає
системой, системою
элементов, елементів
команде, команді
организма, організму
поездки, поїздки
компанию, компанію
финансовых, фінансових
результатам, результатами
часы, годинник
июне, червні
законом, законом
отдел, відділ
градусов, градусів
администрация, адміністрація
опыта, досвіду
автора, автора
средство, засіб
квартире, квартирі
собственно, власне
новому, новому
открыть, відкрити
похоже, схоже
мирового, світового
корпуса, корпусу
конституции, конституції
топлива, палива
давление, тиск
стоят, стоять
политику, політику
игроков, гравців
преступления, злочину
пунктов, пунктів
сезоне, сезоні
потери, втрати
обмен, обмін
практике, практиці
иной, інший
мероприятие, захід
речи, мови
оппозиции, опозиції
феврале, лютому
характера, характеру
прибыль, прибуток
показали, показали
зачастую, найчастіше
горы, гори
началось, почалося
премьера, прем'єра
охраны, охорони
база, база
недель, тижнів
впечатление, враження
понимаю, розумію
вина, вина
ближайшие, найближчі
воздух, повітря
биография, біографія
политике, політиці
давайте, давайте
уголовное, кримінальну
селе, селі
попасть, потрапити
исследование, дослідження
продажу, продаж
мер, заходів
крупнейших, найбільших
отлично, відмінно
воспользоваться, скористатися
итоги, підсумки
университете, університеті
теории, теорії
политические, політичні
широкий, широкий
отделения, відділення
студенты, студенти
писал, писав
турнира, турніру
весной, навесні
корреспондент, кореспондент
сомони, сомоні
российская, російська
ныне, нині
общения, спілкування
полученные, отримані
ежедневно, щодня
фильме, фільмі
представлен, представлений
вечер, вечір
партнеров, партнерів
способствует, сприяє
ближе, ближче
спокойно, спокійно
московского, московського
лидера, лідера
проводятся, проводяться
словно, немов
учебных, навчальних
генеральный, генеральний
растений, рослин
изделий, виробів
связанных, пов'язаних
больных, хворих
знак, знак
картины, картини
защите, захисту
дорога, дорога
обе, обидві
остальных, інших
напротив, навпаки
прием, прийом
семей, сімей
отношениях, відносинах
следующем, наступного
получение, отримання
выступает, виступає
руководителя, керівника
запись, запис
зданий, будівель
разрешения, дозволу
выпуск, випуск
американских, американських
исключением, винятком
сборная, збірна
введите, введіть
регистрация, реєстрація
руками, руками
настоящего, справжнього
пакет, пакет
появится, з'явиться
империи, імперії
останется, залишиться
финансовой, фінансової
теме, темі
подготовке, підготовці
масло, олія
проще, простіше
произошел, стався
требованиям, вимогам
мое, моє
видит, бачить
шести, шести
Англии, Англії
конкурсе, конкурсі
статуса, статусу
пространство, простір
форм, форм
фильмы, Фільми
июле, липні
борьба, боротьба
растет, росте
вышли, вийшли
факты, факти
отвечает, відповідає
искусство, мистецтво
конференция, конференція
выступил, виступив
западе, заході
реально, реально
брать, брати
оплаты, оплати
снять, зняти
думать, думати
голов, голів
великого, великого
мяч, м'яч
изначально, початково
объект, об'єкт
революции, революції
выполнять, виконувати
удар, удар
пределах, межах
отдельные, окремі
культура, культура
войну, війну
мнения, думки
Алматы, Алмати
специальных, спеціальних
дорогу, дорогу
источники, джерела
основания, основи
законодательства, законодавства
каждым, кожним
способом, способом
станут, стануть
видом, видом
зимой, взимку
фирм, фірм
легче, легше
выступления, виступи
заболеваний, захворювань
департамента, департаменту
сектора, сектора
военного, військового
процедуры, процедури
клиента, клієнта
полиция, поліція
работой, роботою
медиа, медіа
нарушение, порушення
эксплуатацию, експлуатацію
минуты, хвилини
голосов, голосів
продукцию, продукцію
исходя, виходячи
летнего, річного
собрания, зборів
покупки, покупки
высокие, високі
врачи, лікарі
отдельно, окремо
решать, вирішувати
вырос, виріс
знаем, знаємо
детский, дитячий
заявили, заявили
увидел, побачив
отправить, Відправити
каталог, каталог
имущества, майна
ученых, вчених
цену, ціну
американской, американської
едва, ледь
америки, америки
производится, Виготовляється
американский, американський
пункта, пункту
рекомендуется, рекомендується
вкус, смак
пара, пара
эксперт, експерт
борьбу, боротьбу
способность, здатність
солнце, сонце
безусловно, безумовно
востока, сходу
процессы, процеси
заказать, замовити
выбора, вибору
азербайджане, Азербайджані
внешней, зовнішньої
названия, назви
изменение, зміна
сказали, сказали
электроэнергии, електроенергії
магазина, магазина
получит, отримає
написать, написати
чувства, почуття
противника, противника
самолет, літак
детских, дитячих
удобно, зручно
предприятии, підприємстві
хранения, зберігання
опытом, досвідом
показал, показав
устройств, пристроїв
палаты, палати
суде, суді
анализа, аналізу
акция, акція
Индии, Індії
партий, партій
взрослых, дорослих
тщательно, ретельно
реклама, реклама
попал, потрапив
действовать, діяти
соответствующие, відповідні
времен, часів
мебели, меблів
вошли, увійшли
пытаются, намагаються
комнаты, кімнати
кубка, кубка
включили, включили
другому, іншому
масла, масла
степень, ступінь
ткани, тканини
направление, напрямок
лежит, лежить
ворота, ворота
тип, тип
памятник, пам'ятник
порой, часом
риск, ризик
характеристики, Характеристики
герой, герой
сила, сила
вашу, вашу
белый, білий
любят, люблять
частей, частин
процессов, процесів
волосы, волосся
уверены, впевнені
контракт, контракт
ирана, ірану
офис, офіс
услуга, послуга
учителя, вчителя
корпус, корпус
конструкции, конструкції
представителями, представниками
моделей, моделей
разумеется, зрозуміло
ссылки, посилання
собственного, власного
ставки, ставки
напоминает, нагадує
Испании, Іспанії
брат, брат
списке, списку
концов, решт
предлагают, пропонують
половины, половини
принимают, приймають
разрешение, Дозвіл
сообщается, повідомляється
визита, візиту
десяти, десяти
случаи, випадки
военно, військово
десятки, десятки
формирования, формування
рубежом, кордоном
полное, повне
показатели, показники
красоты, краси
любых, будь-яких
объяснить, пояснити
расположены, розташовані
дополнительных, додаткових
кандидатов, кандидатів
жил, жив
моему, моєму
земля, земля
московской, московської
помню, пам'ятаю
бороться, боротися
состоялось, відбулося
расходов, витрат
последствия, наслідки
замок, замок
судя, судячи
многом, чому
частично, частково
пароль, пароль
ход, хід
следствие, наслідок
пункт, пункт
меню, меню
проведении, проведенні
продолжается, триває
мастера, майстра
погибших, загиблих
средняя, середня
последней, останньої
находились, знаходилися
могло, могло
решила, вирішила
отказался, відмовився
стадии, стадії
языков, мов
фильмов, фільмів
начальника, начальника
учета, обліку
известные, відомі
никого, нікого
плана, плану
собак, собак
внутренней, внутрішньої
хорошее, гарне
эффективность, ефективність
именем, ім'ям
сотрудничестве, співробітництво
храм, храм
звезды, зірки
независимо, незалежно
нём, ньому
высоких, високих
отказаться, відмовитися
водитель, водій
подготовка, підготовка
выпуска, випуску
создает, створює
мысль, думка
авторы, автори
аэропорта, аеропорту
температуры, температури
перевод, переклад
начался, почався
суток, діб
глазами, очима
ответы, відповіді
требуют, вимагають
превышает, перевищує
дата, дата
выразил, висловив
предложить, запропонувати
силами, силами
нынешнего, нинішнього
Казахстане, Казахстані
перспективы, перспективи
ущерб, збиток
кожу, шкіру
понятие, поняття
лицом, особою
готова, готова
массовой, масової
пришла, прийшла
вакансии, вакансії
посетить, відвідати
городу, місту
представление, уявлення
объекты, об'єкти
выставке, виставці
интересные, цікаві
карта, карта
словом, словом
технология, технологія
третьего, третього
моих, моїх
рабочие, робочі
способен, здатний
собственных, власних
никому, нікому
влияния, впливу
заметил, помітив
имена, імена
форуме, форумі
продукция, продукція
предоставляет, надає
заключения, укладення
огромный, величезний
отметила, зазначила
самыми, самими
принципе, принципі
потребителей, споживачів
мужа, чоловіка
возраст, вік
вашим, вашим
операций, операцій
правительством, урядом
армия, армія
объявил, оголосив
Литве, Литві
четко, чітко
площадью, площею
объединения, об'єднання
глазах, очах
использует, використовує
отеля, готелю
связаны, пов'язані
ждут, чекають
важных, важливих
способны, здатні
известен, відомий
сюжет, сюжет
округа, округу
изображение, зображення
построить, побудувати
народу, народу
высоким, високим
погиб, загинув
утверждают, стверджують
вижу, бачу
озера, озера
Сирии, Сирії
основу, основу
созданию, створення
законы, закони
отметим, відзначимо
ночи, ночі
подряд, поспіль
гражданского, цивільного
раздел, розділ
связана, пов'язана
разработка, розробка
давления, тиску
свободу, свободу
вещества, речовини
аренду, оренду
счета, рахунки
тура, туру
страница, сторінка
ошибки, помилки
пространства, простору
туризма, туризму
обращаться, звертатися
требований, вимог
средний, середній
доходов, доходів
новость, новина
объема, обсягу
решению, рішенням
открыл, відкрив
провинции, провінції
следовательно, отже
работали, працювали
вещей, речей
американского, американського
праздника, свята
адресу, адресою
существования, існування
торговых, торгових
обработки, обробки
сцене, сцені
бывают, бувають
стратегии, стратегії
эффективности, ефективності
мировых, світових
окончательно, остаточно
высшего, вищого
специалист, фахівець
механизм, механізм
определения, визначення
тур, тур
маленький, маленький
защита, захист
руководителей, керівників
гражданской, цивільної
даст, дасть
пола, статі
очков, очок
отличаются, відрізняються
заключение, висновок
собрать, зібрати
окончил, закінчив
давать, давати
исполнения, виконання
сад, сад
неожиданно, несподівано
сайты, сайти
высокая, висока
способности, здатності
содержания, змісту
бумаги, паперу
планеты, планети
реформы, реформи
покупать, купувати
поздно, пізно
занимаются, займаються
судьба, доля
честно, чесно
организм, організм
серия, серія
свойства, властивості
занял, зайняв
центров, центрів
скончался, помер
выполнить, виконати
любую, будь-яку
боль, біль
принцип, принцип
шанс, шанс
сетей, мереж
силой, силою
определяется, визначається
нашими, нашими
рабочей, робочої
изучения, вивчення
производителя, виробника
прошлой, минулого
республика, республіка
информацией, інформацією
сотрудник, співробітник
малого, малого
рекомендации, рекомендації
аппарат, апарат
ощущение, відчуття
понимать, розуміти
солнца, сонця
серьезно, серйозно
ведомства, відомства
деталей, деталей
этаже, поверсі
поведения, поведінки
открыт, відкритий
интернета, інтернету
международные, міжнародні
представления, уявлення
здании, будівлі
выяснилось, з'ясувалося
пределами, межами
трое, троє
тяжело, важко
мэр, мер
началом, початком
поведение, поведінка
наблюдается, спостерігається
канал, канал
вечера, вечора
общественной, суспільної
современный, сучасний
построен, побудований
менять, змінювати
созданы, створені
красной, червоною
поддерживать, підтримувати
машине, машині
Белоруссии, Білорусії
новостей, новин
фирма, фірма
круг, коло
самую, саму
политического, політичного
текста, тексту
правом, правом
документа, документа
компьютер, комп'ютер
каждую, кожну
погода, погода
технические, технічні
обращения, звернення
нормы, норми
эффективно, ефективно
хорошая, хороша
служит, служить
сделано, зроблено
настроение, настрій
государственные, державні
видели, бачили
протеста, протесту
продолжают, продовжують
обоих, обох
спорт, спорт
известны, відомі
уровнем, рівнем
вплоть, аж
участвовал, брав участь
территория, територія
транспорт, транспорт
прогноз, прогноз
отметили, відзначили
продать, продати
соревнования, змагання
страницы, сторінки
зрителей, глядачів
английский, англійська
потенциал, потенціал
остров, острів
варианты, варіанти
среде, середовищі
отделение, відділення
проекте, проект
авторов, авторів
связей, зв'язків
головой, головою
доходы, доходи
жизнью, життям
встречу, зустріч
полного, повного
звание, звання
положении, положенні
дважды, двічі
месту, місця
конфликт, конфлікт
свете, світлі
нормально, нормально
мясо, м'ясо
языком, мовою
ресурсы, ресурси
ответил, відповів
единственным, єдиним
учиться, вчитися
применяется, застосовується
посол, посол
собственные, власні
Украину, Україна
квартале, кварталі
следующего, наступного
доставка, доставка
производстве, виробництві
размещения, розміщення
пойти, піти
спрос, попит
появление, поява
семью, родину
ответа, відповіді
проводят, проводять
советы, поради
получилось, вийшло
детского, дитячого
появляются, з'являються
разработке, розробці
турнир, турнір
приходилось, доводилося
находиться, перебувати
ветер, вітер
американские, американські
происшествия, події
частные, приватні
вывод, висновок
перейти, перейти
кровь, кров
размеры, розміри
достичь, досягти
вынуждены, змушені
продукта, продукту
героя, героя
закону, закону
старый, старий
мозга, мозку
ресторан, ресторан
размера, розміру
наверняка, напевно
святого, святого
практика, практика
труд, працю
случилось, трапилося
лучшее, краще
леса, ліси
ходить, ходити
границу, кордон
многим, багатьом
течении, протягом
международная, міжнародна
политическая, політична
настоящему, справжньому
канала, каналу
белого, білого
социального, соціального
творчества, творчості
доход, дохід
знали, знали
новыми, новими
переход, перехід
источника, джерела
предложений, пропозицій
ведется, ведеться
скажем, скажімо
пребывания, перебування
билеты, квитки
юстиции, юстиції
ведут, ведуть
индекс, індекс
голосования, голосування
министром, міністром
студии, студії
клиентам, клієнтам
экономический, економічний
старший, старший
собаки, собаки
полном, повному
голоса, голосу
Абхазии, Абхазії
английского, англійського
финансовые, фінансові
старые, старі
жили, жили
медленно, повільно
обращение, звернення
менеджер, менеджер
комментариев, коментарів
проверить, перевірити
пожалуй, мабуть
собственный, власний
экономике, економіці
камеры, камери
питание, харчування
Румынии, Румунії
технических, технічних
песню, пісню
верховного, верховного
сообщалось, повідомлялося
оценить, оцінити
версию, версію
ремонта, ремонту
информационных, інформаційних
необходимых, необхідних
активности, активності
аппарата, апарату
событие, подія
тепла, тепла
продается, продається
трёх, трьох
преимущественно, переважно
заметно, помітно
появилось, з'явилося
бой, бій
разговор, розмова
центрального, центрального
обнаружили, виявили
масса, маса
специальный, спеціальний
иных, інших
вследствие, внаслідок
карт, карт
экономические, економічні
удовольствие, задоволення
природе, природі
дальнейшего, подальшого
кадров, кадрів
оценка, оцінка
журналисты, журналісти
снижения, зниження
зарубежных, зарубіжних
советских, радянських
начались, почалися
языках, мовах
встречаются, зустрічаються
понимает, розуміє
видим, бачимо
платы, плати
украинской, української
работники, працівники
сообщений, повідомлень
запад, захід
дерева, дерева
топ, топ
помещений, приміщень
продолжать, продовжувати
тепло, тепло
увеличения, збільшення
состоянию, станом
семи, семи
секунд, секунд
церемонии, церемонії
финансирования, фінансування
председателем, головою
птиц, птахів
друзьями, друзями
законодательством, законодавством
постановление, постанову
обмена, обміну
дворе, дворі
визит, візит
короткий, короткий
картина, картина
сильнее, сильніше
остаться, залишитися
вход, Вхід
результатом, результатом
создал, створив
ограничения, обмеження
следующим, наступним
пошли, пішли
отчет, звіт
оставаться, залишатися
детские, дитячі
срочно, терміново
подарки, подарунки
деятельностью, діяльністю
аварии, аварії
сто, сто
долю, частку
Америке, Америці
сессии, сесії
структура, структура
оказывает, надає
лето, літо
привлечь, залучити
мощность, потужність
правоохранительных, правоохоронних
альбома, альбому
помещение, приміщення
счетом, рахунком
пытался, намагався
внешний, зовнішній
пройдут, пройдуть
участка, ділянки
массы, маси
чиновников, чиновників
строить, будувати
появления, появи
установлены, встановлені
стихи, вірші
происхождения, походження
взяли, взяли
голове, голові
намерен, має намір
счастье, щастя
местом, місцем
сверху, зверху
идею, ідею
выступление, виступ
жертв, жертв
рукой, рукою
делом, справою
факторов, факторів
несет, несе
своём, своєму
произошла, сталася
нашел, знайшов
рабочего, робочого
боевых, бойових
традиционно, традиційно
подробно, детально
кодекса, кодексу
границе, кордоні
сей, цей
песня, пісня
избирателей, виборців
мобильного, мобільного
дочери, дочки
управлять, керувати
сказано, сказано
формате, форматі
отставку, відставку
организовать, організувати
пациентов, пацієнтів
сделки, угоди
юге, півдні
повысить, підвищити
сан, сан
занятий, занять
свидетельствует, свідчить
прямой, прямий
морской, морський
уголовного, кримінального
передать, передати
группой, групою
строительстве, будівництві
Греции, Греції
количестве, кількості
гривен, гривень
различными, різними
установлено, встановлено
проходить, проходити
социальные, соціальні
слегка, злегка
карте, мапі
международным, міжнародним
участки, ділянки
предусматривает, передбачає
восстановления, відновлення
потребности, потреби
пошел, пішов
учащихся, учнів
золотой, золотий
высшей, вищої
Польши, Польщі
девушек, дівчат
европейский, європейський
генерального, генерального
высокую, високу
пространстве, просторі
хорошего, хорошого
севере, півночі
говорю, кажу
предпринимателей, підприємців
обзор, огляд
дух, дух
долгое, довгий
рыбы, риби
обвинения, звинувачення
впереди, попереду
мэра, мера
жилье, житло
установлен, встановлений
храма, храму
приема, прийому
местности, місцевості
физических, фізичних
пользуются, користуються
карьеру, кар'єру
последним, останнім
международном, міжнародному
участке, ділянці
определенные, певні
руководители, керівники
президенту, президенту
Афганистана, Афганістану
делается, робиться
великий, великий
нечто, щось
введение, вступ
пояснил, пояснив
строго, строго
победа, перемога
кнопку, кнопку
небольшие, невеликі
кухни, кухні
уходит, йде
павел, павел
подачи, подачі
представителя, представника
понимают, розуміють
неизвестно, невідомо
дешевле, дешевше
предполагается, передбачається
полную, повну
предмет, предмет
обеих, обох
некоторым, деяким
предметы, предмети
трудовой, трудовий
врачей, лікарів
профессиям, професіями
боли, болю
счёт, рахунок
размеров, розмірів
радость, радість
представлена, представлена
медицинских, медичних
мигрантов, мігрантів
дерево, дерево
советский, радянський
начнется, почнеться
причинам, причин
обратился, звернувся
футболу, футболу
известного, відомого
официального, офіційного
нажмите, натисніть
желающих, бажаючих
информационной, інформаційної
численность, чисельність
линия, лінія
растения, рослини
аэропорт, аеропорт
третье, третій
статью, статтю
грузов, вантажів
очереди, черги
условиями, умовами
одежда, одяг
расстояние, відстань
молодежь, молодь
финансового, фінансового
областях, областях
недостаточно, недостатньо
сообщить, повідомити
село, село
парка, парку
основы, основи
сильный, сильний
песен, пісень
строительных, будівельних
функций, функцій
внутреннего, внутрішнього
смс, смс
восстановление, відновлення
открыто, відкрито
инициативе, ініціативи
глубоко, глибоко
технического, технічного
жены, дружини
девочки, дівчинки
врача, лікаря
европу, європу
чрезвычайно, надзвичайно
ценам, цінами
собрание, збори
просмотра, перегляду
зайти, зайти
долг, борг
полтора, півтора
напрямую, безпосередньо
путешествие, подорож
получат, отримають
вероятность, ймовірність
получится, вийде
комплект, комплект
удастся, вдасться
развивается, розвивається
помогают, допомагають
выполнение, виконання
возможных, можливих
внимательно, уважно
заявки, заявки
детской, дитячої
двигателя, двигуна
воздействия, впливу
инвесторов, інвесторів
игрок, гравець
идей, ідей
нашему, нашому
любителей, любителів
оказаться, виявитися
ввести, ввести
школах, школах
средствами, засобами
учеников, учнів
играл, грав
страхования, страхування
длина, довжина
зарегистрируйтесь, зареєструйтеся
Афганистане, Афганістані
обсуждения, обговорення
взаимодействия, взаємодії
рабочий, робочий
половина, половина
предполагает, передбачає
мобильных, мобільних
распространение, поширення
статей, статей
литература, література
детства, дитинства
опасности, небезпеки
государством, державою
Лондоне, Лондоне
желания, бажання
художник, художник
специальной, спеціальної
имея, маючи
пытались, намагалися
активность, активність
орган, орган
расследование, розслідування
комнате, кімнаті
ребенку, дитині
участник, учасник
экспорт, експорт
Сочи, Сочи
моменты, моменти
налогов, податків
местной, місцевої
формирование, формування
немедленно, негайно
осталась, залишилася
медицинской, медичної
профессиональных, професійних
портала, порталу
классов, класів
прокуратуры, прокуратури
лидеры, лідери
размещение, розміщення
почты, пошти
одежду, одяг
действуют, діють
счастья, щастя
уйти, піти
возникновения, виникнення
турнире, турнірі
страной, країною
украинских, українських
персонала, персоналу
интеграции, інтеграції
вариантов, варіантів
играют, грають
героев, героїв
сервиса, сервісу
обладают, мають
занимался, займався
производству, виробництва
принципы, принципи
дополнительно, додатково
органами, органами
Петербург, Петербург
цветы, квіти
мощности, потужності
культуре, культурі
опасность, небезпека
инвестиции, інвестиції
сообщества, суспільства
проекту, проекту
мальчик, хлопчик
определение, визначення
коллектив, колектив
подписал, підписав
преимущества, переваги
подобного, подібного
организацию, організацію
шла, йшла
счету, рахунком
последняя, остання
душе, душі
лидером, лідером
структур, структур
членами, членами
чисто, чисто
политический, політичний
играх, іграх
держать, тримати
ознакомиться, ознайомитися
театре, театрі
точку, точку
вынужден, змушений
улучшения, поліпшення
лице, особі
религии, релігії
служить, служити
черный, чорний
инфраструктуры, інфраструктури
серьезные, серйозні
высоко, високо
отеле, готелі
данному, даному
угодно, завгодно
ценности, цінності
обязан, зобов'язаний
решении, рішенні
законопроект, законопроект
кредитов, кредитів
блюда, блюда
покупке, покупці
существование, існування
писатель, письменник
рассказать, розповісти
гибели, загибелі
действительности, дійсності
составили, склали
общие, загальні
высоте, висоті
украинского, українського
русская, російська
запада, заходу
следующей, наступного
законов, законів
вторую, другу
разница, різниця
дорогие, дорогі
произведений, творів
проблемой, проблемою
приняла, прийняла
выбирать, вибирати
веков, століть
признал, визнав
Петербурга, Петербурга
единой, єдиної
удовольствием, задоволенням
городских, міських
восток, схід
главные, головні
кандидата, кандидата
аэропорту, аеропорту
рассказала, розповіла
ног, ніг
искусств, мистецтв
телефоны, телефони
влияет, впливає
приобретение, придбання
транспортных, транспортних
единственное, єдине
валюты, валюти
спектр, спектр
решает, вирішує
клиент, клієнт
единого, єдиного
соответствующих, відповідних
партию, партію
отсутствия, відсутності
душу, душу
привело, призвело
федерального, федерального
дорогой, дорогий
позиция, позиція
девочка, дівчинка
операция, операція
дому, дому
контакты, контакти
Иран, Іран
организаторы, організатори
чиновники, чиновники
сон, сон
навсегда, назавжди
намерены, мають намір
выиграл, виграв
инструмент, інструмент
мол, мовляв
